"household_id","year","marital","sex","age","work_status"
"3112812.0",2015,"1.0","1.0",61,"NaN"
"3112831.0",2015,"1.0","1.0",45,"1.0"
"3112832.0",2015,"1.0","1.0",45,"1.0"
"3112921.0",2015,"1.0","1.0",44,"2.0"
"3112922.0",2015,"1.0","1.0",44,"2.0"
"3112931.0",2015,"1.0","1.0",39,"1.0"
"3112932.0",2015,"1.0","1.0",39,"1.0"
"3112941.0",2015,"1.0","1.0",36,"1.0"
"3112942.0",2015,"1.0","1.0",36,"1.0"
"3112951.0",2015,"1.0","1.0",37,"1.0"
"3112952.0",2015,"1.0","1.0",37,"1.0"
"3113041.0",2015,"1.0","1.0",47,"1.0"
"3113042.0",2015,"1.0","1.0",47,"1.0"
"3113061.0",2015,"1.0","1.0",70,"NaN"
"3113062.0",2015,"1.0","1.0",70,"NaN"
"3113151.0",2015,"1.0","1.0",52,"1.0"
"3113152.0",2015,"1.0","1.0",52,"1.0"
"3113161.0",2015,"1.0","1.0",87,"NaN"
"3113162.0",2015,"1.0","1.0",87,"NaN"
"3113231.0",2015,"1.0","1.0",51,"1.0"
"3113232.0",2015,"1.0","1.0",51,"1.0"
"3113321.0",2015,"1.0","1.0",71,"NaN"
"3113322.0",2015,"1.0","1.0",71,"NaN"
"3113401.0",2015,"1.0","1.0",65,"2.0"
"3113402.0",2015,"1.0","1.0",65,"2.0"
"3113431.0",2015,"1.0","1.0",30,"1.0"
"3113432.0",2015,"1.0","1.0",30,"1.0"
"3113451.0",2015,"1.0","1.0",53,"2.0"
"3113452.0",2015,"1.0","1.0",53,"2.0"
"3113551.0",2015,"1.0","1.0",55,"1.0"
"3113552.0",2015,"1.0","1.0",55,"1.0"
"3113572.0",2015,"1.0","1.0",76,"NaN"
"3113601.0",2015,"1.0","1.0",42,"1.0"
"3113602.0",2015,"1.0","1.0",42,"1.0"
"3113651.0",2015,"1.0","1.0",51,"2.0"
"3113652.0",2015,"1.0","1.0",51,"2.0"
"3113671.0",2015,"1.0","1.0",34,"1.0"
"3113672.0",2015,"1.0","1.0",34,"1.0"
"3113681.0",2015,"1.0","1.0",33,"1.0"
"3113682.0",2015,"1.0","1.0",33,"1.0"
"3113711.0",2015,"1.0","1.0",48,"1.0"
"3113712.0",2015,"1.0","1.0",44,"1.0"
"3113721.0",2015,"1.0","1.0",81,"NaN"
"3113722.0",2015,"1.0","1.0",81,"NaN"
"3113741.0",2015,"1.0","1.0",46,"1.0"
"3113742.0",2015,"1.0","1.0",46,"1.0"
"3113751.0",2015,"1.0","1.0",65,"NaN"
"3113752.0",2015,"1.0","1.0",65,"NaN"
"3113801.0",2015,"1.0","1.0",53,"1.0"
"3113802.0",2015,"1.0","1.0",53,"1.0"
"3113861.0",2015,"1.0","1.0",32,"1.0"
"3113862.0",2015,"1.0","1.0",32,"1.0"
"3113891.0",2015,"1.0","1.0",53,"1.0"
"3113892.0",2015,"1.0","1.0",53,"1.0"
"3113941.0",2015,"1.0","1.0",42,"1.0"
"3113942.0",2015,"1.0","1.0",42,"1.0"
"3114001.0",2015,"1.0","1.0",50,"1.0"
"3114002.0",2015,"1.0","1.0",50,"1.0"
"3114011.0",2015,"1.0","1.0",63,"2.0"
"3114012.0",2015,"1.0","1.0",63,"2.0"
"3114031.0",2015,"1.0","1.0",36,"1.0"
"3114032.0",2015,"1.0","1.0",36,"1.0"
"3114051.0",2015,"1.0","1.0",61,"1.0"
"3114052.0",2015,"1.0","1.0",61,"1.0"
"3114101.0",2015,"1.0","1.0",37,"1.0"
"3114131.0",2015,"1.0","1.0",37,"1.0"
"3114132.0",2015,"1.0","1.0",37,"1.0"
"3114141.0",2015,"1.0","1.0",59,"1.0"
"3114142.0",2015,"1.0","1.0",59,"1.0"
"3114161.0",2015,"1.0","1.0",26,"1.0"
"3114162.0",2015,"1.0","1.0",26,"1.0"
"3114191.0",2015,"1.0","1.0",75,"NaN"
"3114291.0",2015,"1.0","1.0",23,"1.0"
"3114292.0",2015,"1.0","1.0",23,"1.0"
"3114342.0",2015,"1.0","1.0",52,"1.0"
"3114441.0",2015,"1.0","1.0",50,"1.0"
"3114442.0",2015,"1.0","1.0",50,"1.0"
"3114521.0",2015,"1.0","1.0",73,"NaN"
"3114522.0",2015,"1.0","1.0",73,"NaN"
"3114551.0",2015,"1.0","1.0",60,"1.0"
"3114551.0",2015,"1.0","1.0",80,"NaN"
"3114552.0",2015,"1.0","1.0",60,"1.0"
"3114552.0",2015,"1.0","1.0",80,"NaN"
"3114591.0",2015,"1.0","1.0",26,"1.0"
"3114592.0",2015,"1.0","1.0",26,"1.0"
"3114611.0",2015,"1.0","1.0",34,"1.0"
"3114612.0",2015,"1.0","1.0",34,"1.0"
"3114671.0",2015,"1.0","1.0",43,"1.0"
"3114672.0",2015,"1.0","1.0",43,"1.0"
"3114701.0",2015,"1.0","1.0",29,"1.0"
"3114702.0",2015,"1.0","1.0",29,"1.0"
"3114721.0",2015,"1.0","1.0",68,"NaN"
"3114722.0",2015,"1.0","1.0",68,"NaN"
"3114771.0",2015,"1.0","1.0",39,"1.0"
"3114772.0",2015,"1.0","1.0",39,"1.0"
"3114881.0",2015,"1.0","1.0",68,"NaN"
"3114882.0",2015,"1.0","1.0",68,"NaN"
"3114961.0",2015,"1.0","1.0",53,"1.0"
"3114962.0",2015,"1.0","1.0",53,"1.0"
"3114981.0",2015,"1.0","1.0",59,"1.0"
"3114982.0",2015,"1.0","1.0",59,"1.0"
"3115031.0",2015,"1.0","1.0",43,"1.0"
"3115032.0",2015,"1.0","1.0",43,"1.0"
"3115121.0",2015,"1.0","1.0",76,"NaN"
"3115122.0",2015,"1.0","1.0",76,"NaN"
"3115151.0",2015,"1.0","1.0",27,"1.0"
"3115152.0",2015,"1.0","1.0",27,"1.0"
"3115171.0",2015,"1.0","1.0",66,"NaN"
